name,edited_name,missing_region,missing_subregion,region_notes
Türkiye,Turkey,,,AADR political entity and ISO country mismatch (Turkey; Türkiye) - used AADR names
Russian Federation,Russia,,,AADR political entity and ISO country mismatch (Russia; Russian Federation) - used AADR names
United Kingdom of Great Britain and Northern Ireland,United Kingdom,,,AADR political entity and ISO country mismatch (United Kingdom; United Kingdom of Great Britain and Northern Ireland) - used AADR names
"Iran, Islamic Republic of",Iran,,,"AADR political entity and ISO country mismatch (Iran; Iran, Islamic Republic of) - used AADR names"
United States of America,USA,,,AADR political entity and ISO country mismatch (USA; United States of America) - used AADR names
"Taiwan, Province of China",Taiwan,Asia,Eastern Asia,"AADR political entity and ISO country mismatch (Taiwan; Taiwan, Province of China) - used AADR names"
"Netherlands, Kingdom of the",Netherlands,,,"AADR political entity and ISO country mismatch (Netherlands; Netherlands, Kingdom of the) - used AADR names"
"Tanzania, United Republic of",Tanzania,,,"AADR political entity and ISO country mismatch (Tanzania; Tanzania, United Republic of) - used AADR names"
Viet Nam,Vietnam,,,AADR political entity and ISO country mismatch (Vietnam; Viet Nam) - used AADR names
"Micronesia, Federated States of",Federated States of Micronesia,,,"AADR political entity and ISO country mismatch (Federated States of Micronesia; Micronesia, Federated States of) - used AADR names"
"Moldova, Republic of",Moldova,,,"AADR political entity and ISO country mismatch (Moldova; Moldova, Republic of) - used AADR names"
"Bolivia, Plurinational State of",Bolivia,,,"AADR political entity and ISO country mismatch (Bolivia; Bolivia, Plurinational State of) - used AADR names"
Syrian Arab Republic,Syria,,,AADR political entity and ISO country mismatch (Syria; Syrian Arab Republic) - used AADR names
"Korea, Republic of",South Korea,,,"AADR political entity and ISO country mismatch (South Korea; Korea, Republic of) - used AADR names"
,Canary Islands,Africa,Northern Africa,political entity not a country in ISO data
Faroe Islands,Faroes,,,AADR political entity and ISO country mismatch (Faroes; Faroe Islands) - used AADR names
Lao People's Democratic Republic,Laos,,,AADR political entity and ISO country mismatch (Laos; Lao People's Democratic Republic) - used AADR names
Saint Lucia,St. Lucia,,,AADR political entity and ISO country mismatch (St. Lucia; Saint Lucia) - used AADR names
Azerbaijan,Azerbaijan ,,,AADR political entity and ISO country mismatch (Azerbaijan ; Azerbaijan) - used AADR names
Azerbaijan,Azerbaijan,,,
,Crimea,Europe,Eastern Europe,political entity not a country in ISO data
"Congo, Democratic Republic of the",DR Congo,,,"AADR political entity and ISO country mismatch (DR Congo; Congo, Democratic Republic of the) - used AADR names"
Curaçao,Curacao,,,AADR political entity and ISO country mismatch (Curacao; Curaçao) - used AADR names
,Channel Islands,Americas,Northern America,political entity not a country in ISO data
"Venezuela, Bolivarian Republic of",Venezuela,,,"AADR political entity and ISO country mismatch (Venezuela; Venezuela, Bolivarian Republic of) - used AADR names"
"Saint Helena, Ascension and Tristan da Cunha",St. Helena,,,"AADR political entity and ISO country mismatch (St. Helena; Saint Helena, Ascension and Tristan da Cunha) - used AADR names"
"Netherlands, Kingdom of the",The Netherlands,,,"AADR political entity and ISO country mismatch (The Netherlands; Netherlands, Kingdom of the) - used AADR names"
